seed,train_up_to_snapshot,test_snapshot,train_domains,validation_domains,test_domains,test_benign,test_malicious,best_val_f1,best_epoch,test_f1,test_roc_auc
42,9,10,9821,1734,1171,611,560,0.9976905311778291,12,0.9955555555555555,0.9970510872106616
42,10,11,10817,1909,1165,569,596,0.9973670352817272,16,0.9966555183946488,0.9976586735235489
42,11,12,11807,2084,1199,596,603,0.9971153846153846,17,0.9975186104218362,0.9987200463009337
42,12,13,12826,2264,1154,572,582,0.9964633068081344,15,0.9982847341337907,0.9990207387114605
42,13,14,13807,2437,1157,590,567,0.9959016393442623,18,0.9964850615114236,0.9988311960063373
42,14,15,14790,2611,1158,546,612,0.995787054768288,14,0.996742671009772,0.9984827264239029
42,15,16,15775,2784,1149,583,566,0.9967753493371552,15,0.9912434325744308,0.997072532108201
42,16,17,16751,2957,1137,567,570,0.9966261808367072,20,0.9982486865148862,0.9992171787493426
42,17,18,17718,3127,1135,577,558,0.997127353973827,16,0.9955396966993756,0.9982296267307729
42,18,19,18683,3297,1168,588,580,0.9960641840750832,17,0.9974204643164231,0.999423821252639
42,19,20,19675,3473,1120,559,561,0.9956908934214306,15,0.9973285841495992,0.9990943848672986
42,20,21,20627,3641,1187,585,602,0.9945265462506842,20,0.9983416252072969,0.999275917880569
42,21,22,21636,3819,1198,619,579,0.9963427377220481,15,0.9905741216795202,0.997374449290041
42,22,23,22655,3998,1170,561,609,0.9967508122969257,19,0.9975429975429976,0.9991365407186908
42,23,24,23649,4174,1203,608,595,0.9966539196940727,17,0.9974853310980721,0.999187306501548
42,24,25,24672,4354,974,469,505,0.9958772331653688,17,0.9960552268244576,0.9982731322172729
